rental_id,item_id,renter_id,start_date,end_date,total_price,status
132,11,133,2025-09-03,2025-09-12,713.97,completed
133,120,68,2025-12-24,2025-12-28,303.44,completed
134,10,103,2026-02-22,2026-03-05,1090.65,completed
135,113,88,2026-03-23,2026-03-25,232.02,completed
136,30,46,2025-12-14,2025-12-22,287.44,completed
137,138,56,2026-04-30,2026-05-10,845.9,completed
138,119,192,2025-08-27,2025-09-07,1208.46,cancelled_by_renter
139,7,49,2025-10-25,2025-11-02,324.96,completed
140,111,61,2025-06-24,2025-07-06,501.72,completed
141,141,68,2025-11-05,2025-11-09,198.0,completed
142,26,64,2026-01-29,2026-02-12,521.08,cancelled_by_owner
143,149,40,2025-09-02,2025-09-15,1131.52,completed
144,56,21,2026-02-03,2026-02-14,804.1,cancelled_by_renter
145,119,127,2025-10-10,2025-10-20,1098.6,completed
146,55,139,2025-08-21,2025-08-22,16.49,completed
147,51,96,2025-11-17,2025-11-27,888.0,completed
148,10,148,2025-12-03,2025-12-17,1388.1,completed
149,127,47,2025-11-15,2025-11-28,715.13,cancelled_by_renter
150,26,72,2025-10-24,2025-10-31,260.54,completed
151,9,148,2025-06-07,2025-06-10,220.59,completed
152,134,109,2025-12-25,2026-01-02,637.12,cancelled_by_renter
153,47,9,2025-05-22,2025-05-31,215.91,completed
154,56,176,2026-04-17,2026-04-30,950.3,completed
155,83,31,2025-10-22,2025-11-03,736.92,completed
156,91,81,2026-02-16,2026-02-28,516.6,completed
157,95,173,2025-09-09,2025-09-13,158.08,completed
158,136,26,2025-12-27,2026-01-02,708.0,completed
159,45,67,2025-08-12,2025-08-15,102.27,cancelled_by_owner
160,83,61,2025-05-17,2025-05-22,307.05,completed
161,15,157,2025-06-11,2025-06-17,261.18,completed
162,116,128,2025-08-04,2025-08-11,823.76,completed
163,53,180,2026-01-24,2026-02-06,490.36,completed
164,110,103,2026-03-28,2026-04-02,554.25,completed
165,76,147,2026-04-06,2026-04-09,250.23,cancelled_by_renter
166,97,176,2025-12-16,2025-12-20,392.8,completed
167,5,185,2025-12-21,2025-12-26,395.9,cancelled_by_owner
168,22,143,2025-05-15,2025-05-22,596.61,cancelled_by_owner
169,48,51,2026-02-28,2026-03-03,248.46,cancelled_by_owner
170,8,190,2026-01-23,2026-01-26,113.94,cancelled_by_owner
171,68,3,2026-03-22,2026-03-25,336.03,completed
172,47,35,2025-08-20,2025-09-03,335.86,completed
173,115,137,2025-12-17,2025-12-29,900.6,completed
174,83,125,2025-05-23,2025-05-28,307.05,completed
175,95,146,2026-02-27,2026-02-28,39.52,completed
176,37,177,2026-02-25,2026-02-28,212.82,completed
177,104,66,2025-07-14,2025-07-22,317.2,completed
178,134,25,2025-11-06,2025-11-14,637.12,completed
179,87,67,2025-11-25,2025-12-01,498.06,completed
180,147,143,2026-01-15,2026-01-28,882.7,completed
181,94,6,2025-10-26,2025-11-02,790.65,completed
182,12,174,2026-04-28,2026-05-08,618.2,completed
183,74,148,2025-08-23,2025-09-03,1276.0,completed
184,89,45,2025-07-16,2025-07-29,818.48,completed
185,18,84,2025-12-20,2025-12-31,403.92,completed
186,7,199,2025-10-23,2025-11-04,487.44,completed
187,50,21,2026-01-09,2026-01-16,511.77,completed
188,134,119,2026-03-19,2026-03-30,876.04,cancelled_by_renter
189,36,43,2025-11-14,2025-11-25,1147.08,completed
190,9,87,2025-06-11,2025-06-18,514.71,cancelled_by_owner
191,125,147,2025-11-06,2025-11-13,373.87,completed
192,75,19,2025-09-19,2025-09-21,151.02,completed
193,6,59,2025-10-13,2025-10-19,452.7,completed
194,63,75,2025-09-13,2025-09-25,896.52,completed
195,34,166,2025-09-09,2025-09-16,602.84,completed
196,77,114,2026-01-22,2026-02-04,1306.5,cancelled_by_owner
197,27,93,2025-06-17,2025-06-29,1127.52,completed
198,69,116,2026-04-05,2026-04-12,189.35,completed
199,125,6,2025-07-08,2025-07-11,160.23,completed
200,24,170,2025-09-12,2025-09-17,385.75,cancelled_by_renter
201,6,180,2025-10-14,2025-10-26,905.4,completed
202,122,43,2026-01-31,2026-02-07,473.83,completed
203,133,17,2025-11-15,2025-11-23,743.52,cancelled_by_owner
204,32,7,2025-08-27,2025-09-09,544.83,completed
205,65,196,2026-01-19,2026-01-21,66.5,completed
206,123,159,2025-10-10,2025-10-13,349.74,completed
207,81,100,2026-03-19,2026-03-24,508.1,completed
208,117,189,2026-02-26,2026-03-03,553.05,completed
209,112,33,2025-12-07,2025-12-10,217.17,cancelled_by_owner
210,72,44,2025-05-21,2025-05-22,67.55,completed
211,83,92,2025-10-31,2025-11-14,859.74,cancelled_by_renter
212,74,122,2025-06-10,2025-06-18,928.0,cancelled_by_renter
213,44,139,2025-09-06,2025-09-11,395.4,completed
214,26,35,2025-08-13,2025-08-25,446.64,completed
215,26,152,2025-09-10,2025-09-20,372.2,completed
216,18,192,2025-06-21,2025-07-02,403.92,cancelled_by_owner
217,61,112,2026-03-03,2026-03-12,246.96,cancelled_by_owner
218,6,137,2025-10-11,2025-10-16,377.25,cancelled_by_renter
219,30,124,2026-04-08,2026-04-17,323.37,completed
220,15,23,2025-11-23,2025-12-01,348.24,completed
221,115,106,2026-03-23,2026-03-28,375.25,completed
222,141,3,2025-05-07,2025-05-08,49.5,completed
223,19,195,2026-01-17,2026-01-31,911.12,completed
224,101,74,2026-04-10,2026-04-18,404.4,cancelled_by_owner
225,111,177,2025-12-04,2025-12-12,334.48,cancelled_by_renter
226,72,123,2025-11-02,2025-11-07,337.75,completed
227,40,111,2025-10-14,2025-10-27,435.37,completed
228,82,60,2025-05-28,2025-06-10,268.97,completed
229,74,96,2025-07-19,2025-07-23,464.0,completed
230,81,144,2025-11-24,2025-12-01,711.34,completed
231,80,42,2025-09-24,2025-10-06,291.0,cancelled_by_owner
232,27,100,2026-01-04,2026-01-18,1315.44,completed
233,63,68,2026-02-25,2026-02-27,149.42,completed
234,15,62,2025-11-17,2025-11-26,391.77,completed
235,64,157,2026-01-05,2026-01-18,1048.84,completed
236,73,70,2025-10-26,2025-10-31,460.65,completed
237,42,137,2026-02-26,2026-03-11,1322.1,completed
238,21,49,2025-05-27,2025-06-10,532.56,completed
239,39,35,2025-07-25,2025-07-30,408.7,completed
240,13,117,2025-08-19,2025-08-29,939.4,completed
241,144,180,2025-12-06,2025-12-16,979.5,completed
242,72,83,2025-06-27,2025-06-28,67.55,completed
243,23,137,2026-05-02,2026-05-03,111.55,completed
244,25,27,2025-08-27,2025-09-01,530.1,completed
245,109,184,2025-10-24,2025-11-01,267.04,cancelled_by_owner
246,43,60,2026-04-14,2026-04-16,88.58,completed
247,81,127,2026-02-02,2026-02-06,406.48,completed
248,122,80,2025-11-11,2025-11-24,879.97,completed
249,25,96,2025-06-23,2025-07-01,848.16,completed
250,123,9,2025-05-18,2025-05-24,699.48,completed
251,144,193,2026-01-07,2026-01-10,293.85,completed
252,61,199,2025-12-29,2026-01-05,192.08,completed
253,43,121,2026-03-13,2026-03-16,132.87,completed
254,58,65,2025-08-08,2025-08-22,710.78,completed
255,143,4,2026-02-07,2026-02-09,53.08,cancelled_by_renter
256,64,183,2025-07-08,2025-07-12,322.72,completed
257,100,114,2025-09-05,2025-09-09,425.8,cancelled_by_owner
258,14,9,2025-12-07,2025-12-11,160.48,completed
259,58,198,2025-05-12,2025-05-14,101.54,completed
260,104,54,2025-12-07,2025-12-15,317.2,completed
261,84,80,2025-10-12,2025-10-18,366.0,completed
262,91,187,2025-06-12,2025-06-13,43.05,completed
263,111,141,2025-08-02,2025-08-11,376.29,completed
264,66,124,2026-03-30,2026-04-10,961.18,completed
265,136,93,2026-04-27,2026-04-28,118.0,cancelled_by_owner
266,16,56,2025-06-20,2025-06-22,61.68,completed
267,22,112,2025-11-02,2025-11-08,511.38,completed
268,50,71,2025-06-22,2025-07-02,731.1,completed
269,2,63,2026-01-14,2026-01-15,44.8,cancelled_by_renter
270,130,149,2026-03-26,2026-04-08,752.31,completed
271,4,177,2025-07-06,2025-07-16,996.9,completed
272,38,198,2025-11-17,2025-11-19,208.42,completed
273,75,128,2026-05-04,2026-05-06,151.02,cancelled_by_owner
274,38,87,2026-02-09,2026-02-22,1354.73,cancelled_by_owner
275,114,16,2025-08-28,2025-09-03,719.58,cancelled_by_owner
276,19,180,2025-11-21,2025-11-30,585.72,completed
277,25,33,2026-02-05,2026-02-13,848.16,completed
278,76,143,2025-08-21,2025-09-03,1084.33,cancelled_by_owner
279,29,89,2025-10-15,2025-10-28,1261.39,cancelled_by_owner
280,19,188,2026-03-27,2026-03-31,260.32,completed
281,50,97,2025-11-10,2025-11-16,438.66,cancelled_by_owner
282,107,65,2025-11-06,2025-11-07,98.6,cancelled_by_owner
283,130,113,2025-08-10,2025-08-19,520.83,completed
284,54,179,2025-10-31,2025-11-08,819.44,completed
285,17,48,2025-12-07,2025-12-16,527.04,completed
286,12,188,2025-07-02,2025-07-10,494.56,completed
287,113,154,2025-10-03,2025-10-17,1624.14,cancelled_by_owner
288,59,18,2025-07-20,2025-07-29,911.88,completed
289,76,76,2026-04-30,2026-05-14,1167.74,completed
290,12,94,2025-12-26,2026-01-03,494.56,completed
291,109,164,2025-11-20,2025-11-29,300.42,completed
292,44,48,2026-02-21,2026-02-22,79.08,completed
293,6,94,2026-04-13,2026-04-26,980.85,completed
294,63,83,2025-06-29,2025-07-11,896.52,completed
295,46,138,2026-04-08,2026-04-22,1504.02,completed
296,26,135,2025-06-03,2025-06-14,409.42,completed
297,123,142,2025-08-22,2025-08-25,349.74,completed
298,41,83,2026-03-03,2026-03-10,699.02,completed
299,41,29,2026-03-10,2026-03-12,199.72,cancelled_by_owner
300,142,18,2026-04-04,2026-04-05,105.13,completed
301,132,34,2025-10-15,2025-10-18,187.89,cancelled_by_owner
302,127,52,2025-09-16,2025-09-18,110.02,completed
303,90,26,2026-05-05,2026-05-06,44.01,completed
304,95,100,2026-03-09,2026-03-20,434.72,cancelled_by_owner
305,69,160,2025-11-20,2025-12-02,324.6,cancelled_by_owner
306,75,13,2025-08-19,2025-08-25,453.06,completed
307,122,184,2026-03-22,2026-03-24,135.38,completed
308,100,54,2025-05-08,2025-05-19,1170.95,completed
309,65,120,2025-08-25,2025-09-07,432.25,completed
310,22,93,2026-02-13,2026-02-22,767.07,completed
311,79,107,2025-08-31,2025-09-14,1229.76,completed
312,45,182,2026-03-28,2026-03-29,34.09,completed
313,111,69,2025-12-21,2025-12-30,376.29,completed
314,107,19,2025-12-18,2026-01-01,1380.4,completed
315,93,56,2026-01-18,2026-01-27,592.74,completed
316,27,186,2025-11-13,2025-11-17,375.84,cancelled_by_owner
317,51,49,2026-04-08,2026-04-12,355.2,completed
318,27,64,2025-07-04,2025-07-14,939.6,cancelled_by_owner
319,90,46,2025-10-27,2025-11-05,396.09,completed
320,71,107,2025-12-02,2025-12-14,336.72,completed
321,98,164,2025-11-11,2025-11-21,282.6,completed
322,22,118,2025-09-18,2025-09-30,1022.76,completed
323,52,27,2025-09-13,2025-09-16,272.19,cancelled_by_owner
324,97,141,2025-12-07,2025-12-14,687.4,completed
325,8,169,2026-02-27,2026-03-02,113.94,cancelled_by_owner
326,62,154,2025-12-04,2025-12-12,498.4,cancelled_by_renter
327,98,81,2025-09-30,2025-10-09,254.34,cancelled_by_renter
328,128,84,2025-10-31,2025-11-14,903.14,completed
329,90,196,2026-05-04,2026-05-15,484.11,completed
330,23,83,2025-09-09,2025-09-19,1115.5,completed
331,78,140,2026-04-10,2026-04-14,200.0,completed
332,22,141,2025-07-19,2025-07-31,1022.76,completed
333,33,116,2026-02-02,2026-02-10,930.4,cancelled_by_renter
334,113,1,2025-08-08,2025-08-20,1392.12,completed
335,61,73,2025-12-15,2025-12-25,274.4,completed
336,52,35,2025-10-03,2025-10-08,453.65,completed
337,122,57,2025-08-06,2025-08-10,270.76,cancelled_by_owner
338,76,6,2026-04-04,2026-04-17,1084.33,completed
339,77,177,2026-03-04,2026-03-18,1407.0,completed
340,8,142,2025-10-14,2025-10-23,341.82,completed
341,54,147,2025-05-24,2025-05-27,307.29,completed
342,106,118,2025-09-08,2025-09-14,194.82,completed
343,116,68,2026-02-20,2026-02-26,706.08,cancelled_by_owner
344,66,64,2025-11-07,2025-11-11,349.52,completed
345,65,77,2026-02-05,2026-02-07,66.5,completed
346,119,146,2026-04-27,2026-05-01,439.44,cancelled_by_owner
347,62,186,2026-03-18,2026-03-24,373.8,cancelled_by_owner
348,130,45,2025-10-02,2025-10-10,462.96,completed
349,31,177,2025-10-04,2025-10-16,776.64,completed
350,61,25,2026-01-20,2026-01-30,274.4,completed
351,132,10,2026-03-11,2026-03-23,751.56,completed
352,27,98,2026-03-22,2026-03-24,187.92,cancelled_by_owner
353,130,198,2026-01-15,2026-01-21,347.22,completed
354,111,112,2025-07-05,2025-07-12,292.67,cancelled_by_renter
355,13,31,2025-11-15,2025-11-29,1315.16,completed
356,43,192,2025-05-21,2025-06-01,487.19,completed
357,82,3,2025-06-25,2025-07-06,227.59,completed
358,120,98,2025-11-18,2025-11-19,75.86,completed
359,25,11,2025-12-22,2025-12-28,636.12,completed
360,82,39,2025-09-13,2025-09-19,124.14,completed
361,42,57,2026-04-10,2026-04-13,305.1,completed
362,112,188,2025-06-15,2025-06-22,506.73,cancelled_by_renter
363,36,193,2026-04-11,2026-04-21,1042.8,completed
364,45,24,2026-03-31,2026-04-04,136.36,completed
365,8,101,2025-10-25,2025-10-28,113.94,completed
366,69,22,2025-06-15,2025-06-23,216.4,completed
367,34,13,2025-11-27,2025-12-06,775.08,completed
368,92,22,2026-04-26,2026-05-03,531.23,completed
369,10,199,2025-10-31,2025-11-12,1189.8,completed
370,26,35,2025-05-13,2025-05-21,297.76,completed
371,42,125,2026-02-12,2026-02-19,711.9,completed
372,34,51,2025-07-02,2025-07-11,775.08,cancelled_by_owner
373,20,189,2025-10-13,2025-10-22,643.59,completed
374,143,19,2026-04-10,2026-04-15,132.7,completed
375,42,83,2026-01-16,2026-01-27,1118.7,cancelled_by_renter
376,72,23,2025-07-06,2025-07-08,135.1,completed
377,78,109,2025-06-05,2025-06-11,300.0,completed
378,141,83,2025-11-05,2025-11-11,297.0,completed
379,3,7,2026-03-07,2026-03-20,1312.09,completed
380,28,90,2025-08-18,2025-08-28,170.4,completed
381,62,114,2025-09-15,2025-09-25,623.0,completed
382,2,12,2026-01-04,2026-01-18,627.2,completed
383,2,176,2026-01-31,2026-02-06,268.8,completed
384,123,187,2025-10-08,2025-10-22,1632.12,completed
385,41,190,2026-01-14,2026-01-15,99.86,completed
386,139,159,2025-06-07,2025-06-10,292.83,cancelled_by_owner
387,107,74,2026-04-03,2026-04-04,98.6,completed
388,114,29,2025-09-12,2025-09-17,599.65,cancelled_by_owner
389,65,6,2026-04-03,2026-04-09,199.5,completed
390,68,138,2026-01-24,2026-01-28,448.04,completed
391,87,134,2026-04-06,2026-04-19,1079.13,completed
392,91,124,2025-11-30,2025-12-10,430.5,completed
393,107,37,2025-10-02,2025-10-14,1183.2,completed
394,140,5,2025-09-07,2025-09-14,714.91,completed
395,75,170,2026-01-05,2026-01-14,679.59,completed
396,122,44,2026-02-10,2026-02-11,67.69,completed
397,37,179,2026-04-17,2026-04-27,709.4,completed
398,90,120,2026-02-26,2026-03-09,484.11,cancelled_by_renter
399,21,18,2025-11-12,2025-11-19,266.28,completed
400,142,170,2026-04-11,2026-04-25,1471.82,cancelled_by_renter
